srun: job 160234 queued and waiting for resources
srun: job 160234 has been allocated resources
INFO 06-04 19:05:24 [nixl_utils.py:20] Setting UCX_RCACHE_MAX_UNRELEASED to '1024' to avoid a rare memory leak in UCX when using NIXL.
WARNING 06-04 19:05:24 [nixl_utils.py:34] NIXL is not available
WARNING 06-04 19:05:24 [nixl_utils.py:44] NIXL agent config is not available

Operator: fused_marlin_moe  Performance Test (dtype=torch.bfloat16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
-----------------------------------------------------------------------------------------------
SUCCESS               5.090483            4.217325               1.207          [torch.Size([256, 7168]), torch.Size([256, 4096, 3584]), torch.Size([256, 7168, 1024]), torch.Size([256, 4096, 56]), torch.Size([256, 7168, 16]), torch.Size([256, 448, 8192]), torch.Size([256, 128, 14336]), torch.Size([256, 56, 4096]), torch.Size([256, 16, 7168]), torch.Size([256, 8]), torch.Size([256, 8])]
SUCCESS               0.065201            0.081084               0.804          [torch.Size([1, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([1, 10]), torch.Size([1, 10])]
SUCCESS               0.180672            0.215780               0.837          [torch.Size([4, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([4, 10]), torch.Size([4, 10])]
SUCCESS               0.325171            0.378234               0.860          [torch.Size([8, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([8, 10]), torch.Size([8, 10])]
SUCCESS               0.564686            0.634918               0.889          [torch.Size([16, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([16, 10]), torch.Size([16, 10])]
SUCCESS               0.991175            1.092221               0.907          [torch.Size([32, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([32, 10]), torch.Size([32, 10])]
SUCCESS               1.470039            1.637054               0.898          [torch.Size([64, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([64, 10]), torch.Size([64, 10])]
SUCCESS               1.863844            2.067060               0.902          [torch.Size([128, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([128, 10]), torch.Size([128, 10])]
SUCCESS               2.150064            2.355323               0.913          [torch.Size([256, 4096]), torch.Size([512, 2048, 2048]), torch.Size([512, 4096, 512]), torch.Size([512, 2048, 32]), torch.Size([512, 4096, 8]), torch.Size([512, 256, 4096]), torch.Size([512, 64, 8192]), torch.Size([512, 32, 2048]), torch.Size([512, 8, 4096]), torch.Size([256, 10]), torch.Size([256, 10])]

.
1 passed in 910.98s (0:15:10)
